Panel_ID,Ubicacion,Latitud,Longitud,Grado_inclinacion,Temperatura_C,Humedad (%),Viento (m/s),Nubosidad (%),Eficiencia_inicial (%),Eficiencia_actual (%),Fecha_medicion,Costo_instalacion (CLP),Costo_instalacion (USD),Costo_mantenimiento (CLP),Costo_mantenimiento (USD),Produccion_energia (kWh),Vida_util (años),Incentivos_fiscales (CLP),Incentivos_fiscales (USD),Cantidad_paneles
25646,Pirque,-33.673696824842274,-70.57648894933692,32,13.11,41.46,2.614524645991521,79.56,83.69,82.92,2024-02-29,1897190,2107.988888888889,304555,120.75333333333332,3720.0,23,192874,214.30444444444444,6
35254,Colina,-33.6121839912994,-70.91680188081614,21,13.87,67.69,4.992570445846193,70.58,82.62,77.85,2024-03-01,1160428,1289.3644444444444,198555,80.54222222222222,5215.0,25,161370,179.3,10
76993,Colina,-33.20354945220591,-70.86875405362245,23,29.67,74.05,8.138858184320453,94.46,89.32,86.57,2024-03-02,1386100,1540.111111111111,406508,121.51444444444444,5343.0,29,154282,171.42444444444445,5
66721,Batuco,-33.686073345583814,-70.5660785146643,23,22.78,49.59,6.311536011641776,16.36,90.52,89.33,2024-03-03,1808538,2009.486666666667,429303,160.07666666666665,5884.0,28,148273,164.74777777777777,7
80619,Lampa,-33.39037629930573,-70.5792628751432,24,21.02,60.01,3.755732254548004,84.32,88.82,87.19,2024-03-04,1926771,2140.8566666666666,256530,56.72888888888889,4659.0,24,71647,79.60777777777778,10
85327,Pirque,-33.67836521508504,-70.86194536604364,40,25.86,37.54,5.04027046416898,93.23,82.1,81.46,2024-03-05,1044579,1160.6433333333334,230077,125.63777777777776,5014.0,26,80433,89.37,9
72627,Lampa,-33.274778936043624,-70.70473688914583,37,14.32,43.61,8.58266240822476,77.38,83.23,79.95,2024-03-06,1677837,1864.263333333333,448064,122.68555555555557,3075.0,29,176772,196.41333333333333,8
76163,Pirque,-33.58088561434083,-70.94025680095402,33,29.33,57.82,0.1141097106442079,43.18,92.51,90.94,2024-03-07,1538206,1709.1177777777775,350551,106.19111111111113,4396.0,24,196505,218.3388888888889,9
49220,Batuco,-33.22174976427932,-70.64677530001535,27,22.82,42.8,1.060191438742143,11.94,90.96,88.84,2024-03-08,1373177,1525.752222222222,431601,149.93444444444444,3494.0,27,192420,213.8,8
85726,Colina,-33.625572004465546,-70.66064862136541,27,27.77,73.96,9.828317487270525,31.35,87.19,82.24,2024-03-09,1791130,1990.1444444444444,358261,100.21777777777778,4136.0,25,98656,109.61777777777776,10
29181,Batuco,-33.61584606410323,-70.74514369082564,34,14.87,58.73,1.42872685217603,76.75,82.39,81.26,2024-03-10,1786271,1984.745555555556,390181,158.4711111111111,5586.0,29,167347,185.9411111111111,5
18618,Batuco,-33.25569648391782,-70.61575399041428,39,17.23,36.34,7.6704379266489315,84.13,91.29,88.93,2024-03-11,1090442,1211.6022222222225,491097,80.65777777777778,5834.0,27,145438,161.59777777777776,8
74286,Lampa,-33.57651901907838,-70.52192734638396,29,25.97,79.72,5.109296237270443,39.22,92.55,90.1,2024-03-12,1702139,1891.265555555556,465139,61.31555555555556,4773.0,25,179716,199.68444444444444,9
11310,Colina,-33.51772893050403,-70.91927621395034,22,22.29,33.68,3.082697237945164,73.94,90.77,87.61,2024-03-13,1757370,1952.6333333333328,321829,122.63222222222224,3278.0,23,81567,90.63,8
31274,Colina,-33.578369320239595,-70.70866184481923,39,31.85,75.81,2.354922236761505,22.0,91.35,89.02,2024-03-14,1585726,1761.9177777777777,421836,81.67555555555556,4098.0,27,98803,109.78111111111112,8
73012,Batuco,-33.547994698198906,-70.66982608764172,22,24.55,79.96,4.92465765655419,87.91,85.04,82.1,2024-03-15,1387520,1541.6888888888889,352283,129.08,5795.0,23,129670,144.07777777777778,6
37884,Chicureo,-33.255947023859235,-70.75512532512235,24,25.19,63.06,5.079377170884671,96.23,89.54,84.65,2024-03-16,1967910,2186.5666666666666,346769,103.28111111111112,4942.0,28,194478,216.08666666666667,9
33307,Lampa,-33.216681483861855,-70.95381164313868,36,23.79,31.66,6.829098576893056,17.19,88.87,87.78,2024-03-17,1793567,1992.8522222222225,187065,139.76222222222222,4665.0,20,191803,213.11444444444444,10
63359,Batuco,-33.610211237332265,-70.59771721804319,36,33.22,44.84,6.273759556999482,42.92,82.7,77.86,2024-03-18,1223552,1359.502222222222,373165,148.56444444444443,5413.0,24,179884,199.8711111111111,5
55429,Batuco,-33.6162158132678,-70.68997769752372,30,29.99,68.29,8.718530914254806,5.21,94.1,92.87,2024-03-19,1495273,1661.4144444444444,249299,160.4011111111111,5281.0,27,148053,164.50333333333333,7
96942,Lampa,-33.50181350075353,-70.85126198902053,25,24.09,61.24,6.054027148377398,90.94,90.52,89.8,2024-03-20,1581781,1757.5344444444445,161534,72.72222222222223,5635.0,20,179456,199.39555555555555,10
98632,Batuco,-33.27978329628497,-70.57363541885195,38,33.15,68.28,7.10658799211176,33.0,87.36,85.97,2024-03-21,1147222,1274.691111111111,190397,142.61888888888888,4053.0,25,83175,92.41666666666669,10
27316,Pirque,-33.281798216366525,-70.85168118784118,30,15.06,60.16,3.04716894759376,3.27,80.49,77.72,2024-03-22,1260901,1401.0011111111112,407750,135.65555555555557,5952.0,21,194501,216.1122222222222,8
96451,Pirque,-33.48498944668745,-70.81787562278517,28,30.05,37.16,0.2360132348905497,23.01,80.13,77.86,2024-03-23,1829894,2033.2155555555555,413160,144.06444444444443,5992.0,25,143113,159.01444444444445,8
27324,Chicureo,-33.21884216703313,-70.71975783317114,33,27.36,68.57,1.3769227150004193,84.61,90.77,85.99,2024-03-24,1849215,2054.6833333333334,205591,60.28111111111111,5854.0,26,74441,82.71222222222222,6
26977,Lampa,-33.37674685928753,-70.88382611966456,33,20.69,61.58,0.7418838996637878,88.02,89.34,85.76,2024-03-25,1794841,1994.2677777777776,370884,94.14888888888888,5147.0,29,122133,135.70333333333335,7
93928,Chicureo,-33.67548551394882,-70.9721216512863,39,32.45,31.64,7.319276397840325,47.09,85.66,84.88,2024-03-26,1705414,1894.9044444444444,173247,97.35444444444444,3127.0,24,83799,93.11,10
50959,Pirque,-33.64533317366439,-70.87064398842274,34,12.13,69.04,7.712154663793795,21.8,87.44,85.69,2024-03-27,1518835,1687.5944444444444,174300,166.00222222222223,5047.0,27,160159,177.95444444444445,9
64529,Chicureo,-33.47573168977256,-70.95645221373582,25,16.83,34.6,7.029087005984415,19.05,80.89,78.52,2024-03-28,1629624,1810.6933333333327,232798,82.14777777777778,4937.0,21,80734,89.70444444444445,6
25783,Chicureo,-33.251567463393606,-70.97850016039298,37,19.55,52.02,7.049372506597794,32.43,94.75,91.17,2024-03-29,1305724,1450.8044444444445,159268,158.48555555555555,4092.0,24,133070,147.85555555555555,10
47652,Colina,-33.30661989161548,-70.7141464259476,30,28.53,69.93,6.563561350431834,98.11,83.47,83.11,2024-03-30,1159719,1288.5766666666666,498951,82.41222222222223,3414.0,24,62704,69.67111111111112,6
24329,Chicureo,-33.32814402796147,-70.65179471719355,38,13.06,37.71,8.42827154866342,44.01,81.28,77.37,2024-03-31,1721316,1912.5733333333333,424329,149.16666666666666,4202.0,28,109678,121.86444444444444,10
20748,Pirque,-33.553951188408206,-70.59956535450463,28,18.66,44.46,6.212769138427147,33.12,94.54,94.21,2024-04-01,1323216,1470.24,344776,105.0111111111111,5040.0,20,50608,56.23111111111111,7
60630,Chicureo,-33.53034557836852,-70.87524103788083,20,28.86,73.05,4.6420590629777365,92.21,80.85,78.27,2024-04-02,1142369,1269.298888888889,367851,104.70666666666666,5752.0,26,183228,203.58666666666667,6
56476,Pirque,-33.22622385613085,-70.71018328104945,39,22.12,44.56,9.818013127081016,31.68,81.47,80.6,2024-04-03,1110671,1234.078888888889,386584,64.60222222222222,5485.0,22,100044,111.16,10
75752,Chicureo,-33.236737378324115,-70.74039720202006,24,18.78,58.62,3.801753261768205,62.51,92.84,89.45,2024-04-04,1634954,1816.615555555556,188044,148.9388888888889,4620.0,20,167019,185.57666666666665,9
20813,Lampa,-33.49304903474958,-70.79202746681672,32,10.23,69.04,5.195428409606024,16.19,86.26,82.65,2024-04-05,1435333,1594.8144444444445,463358,67.68666666666667,3287.0,25,174525,193.91666666666663,5
41243,Colina,-33.62090457680567,-70.69174260175367,32,15.75,42.25,8.645280887629362,85.87,94.35,91.25,2024-04-06,1797179,1996.865555555556,198984,97.36888888888888,5784.0,26,142129,157.92111111111112,5
47313,Colina,-33.348163016708696,-70.50411731410175,22,29.37,56.18,4.548316562136563,44.21,91.54,89.75,2024-04-07,1225145,1361.272222222222,452918,103.87222222222222,3151.0,22,70065,77.85,6
50824,Pirque,-33.480461743528195,-70.845240344488,39,22.78,43.65,5.613956382886744,18.58,86.87,82.14,2024-04-08,1079390,1199.3222222222223,414712,60.84222222222222,3671.0,24,181547,201.7188888888889,9
75937,Chicureo,-33.35252382046289,-70.66443330007563,24,12.97,74.41,7.930285782245421,80.73,84.38,82.67,2024-04-09,1420268,1578.0755555555556,270151,145.00666666666666,4062.0,24,118336,131.48444444444445,8
14588,Batuco,-33.61018706210543,-70.9451988070069,21,22.29,41.47,4.426364146272599,97.16,80.32,77.91,2024-04-10,1001229,1112.4766666666667,283767,89.22333333333333,3438.0,26,66729,74.14333333333333,6
50969,Batuco,-33.48232377419,-70.86128709454674,30,10.67,63.12,2.206608121643845,11.47,87.39,82.65,2024-04-11,1573641,1748.49,274375,123.66,3621.0,26,60049,66.72111111111111,9
49255,Colina,-33.33034410073893,-70.93890653852992,21,14.77,58.89,9.593873278436316,94.99,81.47,77.63,2024-04-12,1868191,2075.7677777777776,329262,83.05666666666667,4827.0,20,154169,171.29888888888888,6
85526,Batuco,-33.54862796545404,-70.72886581340417,35,26.98,73.06,9.399374742065582,32.68,85.19,85.12,2024-04-13,1895425,2106.027777777778,286330,143.92555555555555,3253.0,29,193086,214.54,6
13996,Chicureo,-33.584163506445464,-70.65970582180067,27,10.93,65.79,2.0625561872093225,35.74,85.05,84.02,2024-04-14,1291879,1435.421111111111,451648,55.70555555555556,5145.0,25,159256,176.95111111111112,7
62357,Lampa,-33.38623831395009,-70.76621142765576,24,10.16,34.88,4.195725581066744,67.27,80.41,79.76,2024-04-15,1284032,1426.7022222222222,314231,96.3411111111111,3274.0,27,124507,138.3411111111111,8
94441,Chicureo,-33.4287068474766,-70.70340902011445,20,18.6,55.03,1.1995569486357538,19.81,84.65,83.35,2024-04-16,1750226,1944.6955555555555,163986,94.40777777777778,4705.0,22,55580,61.75555555555555,10
66008,Colina,-33.64157994896537,-70.92527919276823,29,27.67,70.71,9.705962541879185,46.77,83.41,78.94,2024-04-17,1321754,1468.6155555555556,211858,94.10444444444444,5268.0,20,69246,76.94,10
36198,Colina,-33.37520799528057,-70.73598127851028,25,16.86,64.38,7.48863244338327,38.37,86.05,81.33,2024-04-18,1954537,2171.7077777777777,279312,108.67555555555556,4429.0,26,158810,176.45555555555555,9
70893,Lampa,-33.354550407900625,-70.81131004430853,20,16.35,47.13,6.339130005753581,54.69,94.11,93.31,2024-04-19,1737634,1930.7044444444443,162666,58.39,3670.0,26,51382,57.09111111111111,6
41042,Colina,-33.35425671378035,-70.89189776070498,30,30.81,35.69,5.5359553772048296,69.56,89.76,86.19,2024-04-20,1085981,1206.6455555555556,450804,152.93,5358.0,28,197606,219.56222222222223,8
26023,Colina,-33.63009184952151,-70.96924362615829,37,15.14,70.75,9.91041803978024,69.36,82.2,81.09,2024-04-21,1912288,2124.7644444444445,284633,100.16222222222224,5851.0,27,90372,100.41333333333333,5
45020,Colina,-33.38084518390841,-70.73796969458411,38,30.33,47.67,3.3414934492870807,97.39,89.3,85.58,2024-04-22,1978910,2198.788888888889,438998,159.5811111111111,5072.0,27,147454,163.83777777777777,7
18838,Chicureo,-33.487051825365505,-70.77759473152956,20,10.19,52.4,5.496188728030703,27.09,89.96,87.92,2024-04-23,1881431,2090.478888888889,476649,75.48555555555555,4093.0,26,105291,116.99,8
93989,Chicureo,-33.22082389261971,-70.89094357472959,31,29.51,70.24,9.889653800141655,72.06,88.96,87.61,2024-04-24,1471161,1634.6233333333332,254488,69.69888888888889,3321.0,23,137463,152.73666666666668,7
46574,Chicureo,-33.41532888294741,-70.94914845152655,23,26.82,47.1,5.414661794417831,14.14,90.92,89.49,2024-04-25,1102938,1225.486666666667,333323,87.74666666666667,3457.0,29,150757,167.5077777777778,9
24285,Batuco,-33.461915110144105,-70.76983819557016,32,26.98,37.03,9.344097198336328,57.79,84.05,82.36,2024-04-26,1125521,1250.578888888889,434806,159.78222222222223,3075.0,25,89233,99.14777777777778,5
54822,Chicureo,-33.34602044536918,-70.81294052537474,29,28.93,54.78,8.16445248330251,82.61,89.37,85.99,2024-04-27,1560977,1734.418888888889,420536,81.52444444444444,5563.0,27,64848,72.05333333333333,6
71137,Batuco,-33.49220690722752,-70.60416305048355,28,15.67,62.61,6.271400897876216,32.44,89.02,87.31,2024-04-28,1470155,1633.5055555555557,180535,116.88444444444444,3351.0,21,116966,129.9622222222222,9
80795,Chicureo,-33.463268427678564,-70.60965742719004,34,16.38,62.07,4.380150127246819,71.41,83.09,79.06,2024-04-29,1189962,1322.18,464400,63.12444444444444,3807.0,25,174938,194.3755555555556,10
30170,Batuco,-33.68479728531911,-70.96668337004692,35,25.28,68.37,3.61105478320071,89.49,90.04,86.12,2024-04-30,1405620,1561.8,447366,67.91,4968.0,28,97570,108.41111111111113,5
25972,Chicureo,-33.44215256314634,-70.63127039572578,25,19.68,41.96,6.68886304387547,43.04,82.51,78.69,2024-05-01,1381026,1534.4733333333334,227373,128.59777777777776,4369.0,29,171017,190.01888888888888,7
35139,Chicureo,-33.39224923308018,-70.63646489076925,30,19.5,51.37,3.599454770503887,64.88,86.32,86.07,2024-05-02,1817776,2019.7511111111112,273684,131.69555555555556,5129.0,27,180104,200.1155555555556,10
51963,Batuco,-33.47101532145061,-70.97786644013773,33,17.86,68.26,6.338335835737933,7.71,86.53,81.83,2024-05-03,1211628,1346.253333333333,423109,120.99777777777778,4957.0,22,141462,157.18,6
23098,Pirque,-33.66977728090687,-70.9497844691834,23,33.2,46.56,0.7776759853383164,72.8,92.4,91.72,2024-05-04,1442644,1602.9377777777777,174538,94.73,5935.0,23,164203,182.4477777777778,5
52501,Pirque,-33.53418578268612,-70.65263010409642,34,26.59,70.08,5.731856948676809,39.68,93.41,91.7,2024-05-05,1467596,1630.6622222222222,351664,95.83444444444444,5759.0,22,145979,162.1988888888889,7
93290,Colina,-33.4194242508953,-70.54884765484287,33,26.04,62.96,9.803216059123445,72.66,81.36,80.58,2024-05-06,1084179,1204.6433333333334,289182,78.89333333333333,3226.0,28,148663,165.1811111111111,9
77425,Chicureo,-33.567187541871654,-70.83878582649993,23,15.33,32.38,9.699304056589696,41.53,85.12,82.98,2024-05-07,1327226,1474.6955555555555,308338,72.36444444444444,5163.0,28,133753,148.61444444444444,10
